Заголовок;Тип ЗМІ;Джерело;Країна;Регіон;Місто;Рівень видання;Рубрика;Дата виходу;Дата обробки;URL;Анотація;Ім'я автора;Країна автора;Назва місця публікації;Кількість лайків;Кількість репостів;Кількість коментарів;Сумарна кількість переглядів разом із дублями;Тип повідомлення
Як змінити звук повітряної тривоги?;Інтернет;www.061.ua;Україна;Запорізька область;Запоріжжя;Регіональний;Новини та медіа;17.05.2024 20:27;17.05.2024 20:27;https://www.061.ua/list/476465;   Повітряна тривога  це не лише звук, а символ підвищеної обережності та готовності українського народу до можливих загроз. У сучасних умовах геополітичної нестабільності вона стала необхідним сигналом, який мобілізує громадян до захисту себе та своїх сімей. Ґвалт нагадує про важливість підтримки національної безпеки та є символом єдності та солідарності українського суспільства.   Дал;;;;;;;514;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;10.12.2024 08:26;10.12.2024 09:13;https://novy.tv/ua/news/2024/12/10/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;20940;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;16.12.2024 08:27;16.12.2024 09:46;https://novy.tv/ua/news/2024/12/16/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;20940;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;02.12.2024 10:27;02.12.2024 11:33;https://novy.tv/ua/news/2024/12/02/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;27920;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;06.12.2024 11:00;06.12.2024 12:58;https://novy.tv/ua/news/2024/12/06/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
"""Деякі наші розробки напряму пов'язані з ураженням росіян""  розробник додатку ""Повітряна тривога"" з Хмельницького";Інтернет;suspilne.media;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;15.02.2024 09:00;15.02.2024 09:08;https://suspilne.media/682498-deaki-nasi-rozrobki-napramu-povazani-z-urazennam-rosian-rozrobnik-dodatku-povitrana-trivoga-z-hmelnickogo/;"  37-річний хмельничанин Степан Танасійчук захопився комп'ютером у 13 років. Тоді мріяв розробити власну онлайн гру. З часом Степан створив свою IT-компанію, де з командою розробляли програми, створювали різноманітні проекти, але найбільш значущі його розробки  мобільні додатки ""Повітряна тривога"", ""єРакета"" та чат-бот ""Укриття"".    Про свої дитячі мрії, теперішні проекти та про умови у";;;;;;;575;
"У застосунку ""Повітряна тривога"" сповіщатимуть про загрозу стихійного лиха";Інтернет;www.5.ua;Україна;Київ (Центральні);;ТОП-100;Новини та медіа;07.02.2024 11:27;07.02.2024 11:27;https://www.5.ua/dv/life/322103;"Для кожного типу тривог було створено унікальне сповіщення  Life  У застосунку ""Повітряна тривога"" сповіщатимуть про загрозу стихійного лиха    7 лютого, 11:15 Shutterstock  Для кожного типу тривог було створено унікальне сповіщення   У мобільному додатку ""Повітряна тривога"" сповіщатимуть про інші види небезпек, що не стосуються обстрілів, передає "" Дивогляд "".    В ТЕМУ:  Life Monobank ";;;;;;;647;
Українців сповіщатимуть про підвищену небезпеку  оновили додаток Повітряна тривога;Інтернет;chasche.com;Україна;Київ (Центральні);;Маловідомий;Консолідатори;29.02.2024 12:42;29.02.2024 13:03;https://chasche.com/274787-ukrayincziv-spovishhatymut-pro-pidvyshhenu-nebezpeku-onovyly-dodatok-povitryana-tryvoga.html; Розробники оновили мобільний додаток Повітряна тривога.   Його нова версія дозволяє отримати додаткову інформацію про загрозу в конкретному регіоні. Про це в ефірі національного телемарафону розповів речник Повітряних сил ЗСУ Юрій Ігнат, передає Gazeta.ua.   За його словами, фахівці Повітряних сил спільно з розробниками додатка створили безпечний алгоритм, який дозволить отримати інфо;;;;;;;;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;07.05.2024 13:42;07.05.2024 16:55;https://novy.tv/ua/news/2024/05/07/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;27920;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;11.05.2024 08:09;11.05.2024 08:52;https://novy.tv/ua/news/2024/05/11/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;03.05.2024 08:02;03.05.2024 08:15;https://novy.tv/ua/news/2024/05/03/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;14.05.2024 08:09;14.05.2024 11:36;https://novy.tv/ua/news/2024/05/14/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;20.05.2024 09:03;20.05.2024 09:40;https://novy.tv/ua/news/2024/05/20/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;24.05.2024 12:43;24.05.2024 15:14;https://novy.tv/ua/news/2024/05/24/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;28.05.2024 13:15;28.05.2024 13:26;https://novy.tv/ua/news/2024/05/28/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;20940;
Масштабна повітряна тривога в Україні: є загроза;Інтернет;from-ua.org;Україна;Київ (Центральні);;Маловідомий;Новини та медіа;26.02.2024 13:21;26.02.2024 13:21;https://from-ua.org/news/653313-masstabna-povitryana-trivoga-v-ukrayini-je-zagroza.html; Україною шириться масштабна повітряна тривога через загрозу застосування балістичного озброєння з Криму. Українців просять перейти до безпечного місця.   Зафіксовано зліт МіГ-31К. МіГ-31К  носій надзвукової ракети Х-47м2 Кинджал, яка становить загрозу для всіх регіонів країни.         Про те, що відбувається, можна дізнатися в Telegram-каналі Повітряних сил Збройних сил України.   Ук;;;;;;;;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;03.06.2024 13:10;03.06.2024 13:10;https://novy.tv/ua/news/2024/06/03/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;27920;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;08.06.2024 09:08;08.06.2024 09:54;https://novy.tv/ua/news/2024/06/08/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;21.06.2024 07:44;21.06.2024 11:54;https://novy.tv/ua/news/2024/06/21/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;27.06.2024 13:19;27.06.2024 15:38;https://novy.tv/ua/news/2024/06/27/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;01.11.2024 10:45;01.11.2024 22:12;https://novy.tv/ua/news/2024/11/01/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;06.11.2024 09:36;06.11.2024 19:39;https://novy.tv/ua/news/2024/11/06/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;27920;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;14.11.2024 06:54;14.11.2024 11:31;https://novy.tv/ua/news/2024/11/14/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;18.11.2024 08:21;18.11.2024 16:07;https://novy.tv/ua/news/2024/11/18/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;11.06.2024 08:46;11.06.2024 12:41;https://novy.tv/ua/news/2024/06/11/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;17.06.2024 07:47;17.06.2024 08:37;https://novy.tv/ua/news/2024/06/17/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;20940;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;24.06.2024 09:53;24.06.2024 14:48;https://novy.tv/ua/news/2024/06/24/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;11.11.2024 06:54;11.11.2024 07:31;https://novy.tv/ua/news/2024/11/11/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;24.11.2024 09:26;24.11.2024 11:03;https://novy.tv/ua/news/2024/11/24/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;27.11.2024 09:26;27.11.2024 11:21;https://novy.tv/ua/news/2024/11/27/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;04.07.2024 12:17;04.07.2024 14:09;https://novy.tv/ua/news/2024/07/04/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;12.07.2024 09:56;12.07.2024 11:35;https://novy.tv/ua/news/2024/07/12/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;16.07.2024 10:20;16.07.2024 10:32;https://novy.tv/ua/news/2024/07/16/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;23.07.2024 09:26;23.07.2024 11:31;https://novy.tv/ua/news/2024/07/23/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;20940;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;30.07.2024 10:09;30.07.2024 11:54;https://novy.tv/ua/news/2024/07/30/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;27920;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;04.10.2024 09:13;04.10.2024 13:40;https://novy.tv/ua/news/2024/10/04/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;22.10.2024 09:51;22.10.2024 18:47;https://novy.tv/ua/news/2024/10/22/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;6980;
Онлайн-карта повітряних тривог в Україні: статус сирен у всіх областях тепер можна перевірити в один клік;Інтернет;novy.tv;Україна;Київ (Центральні);;Національний;Корпоративні;22.04.2024 09:38;22.04.2024 11:11;https://novy.tv/ua/news/2024/04/22/onlajn-karta-vozdushnyh-trevog-v-ukrayne-status-syren-vo-vseh-oblastyah-teper-mozhno-proveryt-v-odyn-klyk/;    Карта повітряних тривог України доступна в форматі онлайн. Тепер лише в один клік можна перевірити статус сирен у всіх областях країни одночасно. Дивися в нашому матеріалі, де в Україні повітряна тривога  карта повітряних тривог дає можливість розуміти ситуацію в режимі онлайн     Онлайн-карта компаній, які не пішли з росії: вони фінансують війну в Україні   Зараз дивляться   Карта ;;;;;;;13960;
